Fecha,Nombre,Consumo
2024-01-01,Hidráulica,56042.193
2024-01-02,Hidráulica,65427.915
2024-01-03,Hidráulica,91061.627
2024-01-04,Hidráulica,136988.271
2024-01-05,Hidráulica,80990.951
2024-01-06,Hidráulica,76012.31
2024-01-07,Hidráulica,87310.509
2024-01-08,Hidráulica,143340.973
2024-01-09,Hidráulica,170346.405
2024-01-10,Hidráulica,160181.663
2024-01-11,Hidráulica,154221.114
2024-01-12,Hidráulica,122390.591
2024-01-13,Hidráulica,132925.487
2024-01-14,Hidráulica,104769.316
2024-01-15,Hidráulica,132967.7
2024-01-16,Hidráulica,107770.902
2024-01-17,Hidráulica,102852.673
2024-01-18,Hidráulica,118098.443
2024-01-19,Hidráulica,135626.508
2024-01-20,Hidráulica,136542.742
2024-01-21,Hidráulica,137388.356
2024-01-22,Hidráulica,141595.415
2024-01-23,Hidráulica,147777.323
2024-01-24,Hidráulica,141786.308
2024-01-25,Hidráulica,157259.679
2024-01-26,Hidráulica,166791.78
2024-01-27,Hidráulica,124547.991
2024-01-28,Hidráulica,111650.534
2024-01-29,Hidráulica,136056.107
2024-01-30,Hidráulica,161311.817
2024-01-31,Hidráulica,158577.344
2024-02-01,Hidráulica,147578.48
2024-02-02,Hidráulica,120135.539
2024-02-03,Hidráulica,102452.358
2024-02-04,Hidráulica,88276.359
2024-02-05,Hidráulica,139733.655
2024-02-06,Hidráulica,135033.017
2024-02-07,Hidráulica,104970.672
2024-02-08,Hidráulica,101835.737
2024-02-09,Hidráulica,103073.19
2024-02-10,Hidráulica,61987.983
2024-02-11,Hidráulica,72131.813
2024-02-12,Hidráulica,85690.871
2024-02-13,Hidráulica,136228.358
2024-02-14,Hidráulica,135871.609
2024-02-15,Hidráulica,125661.664
2024-02-16,Hidráulica,113757.198
2024-02-17,Hidráulica,99225.494
2024-02-18,Hidráulica,91354.578
2024-02-19,Hidráulica,84591.691
2024-02-20,Hidráulica,122146.464
2024-02-21,Hidráulica,135394.427
2024-02-22,Hidráulica,79666.744
2024-02-23,Hidráulica,65516.279
2024-02-24,Hidráulica,58918.917
2024-02-25,Hidráulica,57844.784
2024-02-26,Hidráulica,88799.305
2024-02-27,Hidráulica,99902.182
2024-02-28,Hidráulica,110602.749
2024-02-29,Hidráulica,115119.833
2024-03-01,Hidráulica,116970.778
2024-03-02,Hidráulica,117218.961
2024-03-03,Hidráulica,103344.441
2024-03-04,Hidráulica,119050.827
2024-03-05,Hidráulica,143634.288
2024-03-06,Hidráulica,163628.799
2024-03-07,Hidráulica,145020.433
2024-03-08,Hidráulica,150892.32
2024-03-09,Hidráulica,147733.994
2024-03-10,Hidráulica,131218.833
2024-03-11,Hidráulica,150302.588
2024-03-12,Hidráulica,163795.91
2024-03-13,Hidráulica,171122.458
2024-03-14,Hidráulica,175331.413
2024-03-15,Hidráulica,182245.457
2024-03-16,Hidráulica,166266.17
2024-03-17,Hidráulica,167418.855
2024-03-18,Hidráulica,186960.361
2024-03-19,Hidráulica,193569.492
2024-03-20,Hidráulica,183679.224
2024-03-21,Hidráulica,161721.803
2024-03-22,Hidráulica,169975.092
2024-03-23,Hidráulica,130807.682
2024-03-24,Hidráulica,122034.514
2024-03-25,Hidráulica,174683.443
2024-03-26,Hidráulica,163832.552
2024-03-27,Hidráulica,117924.568
2024-03-28,Hidráulica,123676.923
2024-03-29,Hidráulica,138199.157
2024-03-30,Hidráulica,145818.638
2024-03-31,Hidráulica,137992.479
2024-04-01,Hidráulica,137550.442
2024-04-02,Hidráulica,150335.603
2024-04-03,Hidráulica,154767.678
2024-04-04,Hidráulica,153371.413
2024-04-05,Hidráulica,147725.817
2024-04-06,Hidráulica,150457.486
2024-04-07,Hidráulica,158304.507
2024-04-08,Hidráulica,161016.098
2024-04-09,Hidráulica,153984.355
2024-04-10,Hidráulica,164563.336
2024-04-11,Hidráulica,144665.235
2024-04-12,Hidráulica,165463.511
