Fecha,Nombre,Consumo
2023-01-25,Hidráulica,163808.088
2023-01-26,Hidráulica,159528.272
2023-01-27,Hidráulica,140880.854
2023-01-28,Hidráulica,107127.558
2023-01-29,Hidráulica,105817.663
2023-01-30,Hidráulica,155854.967
2023-01-31,Hidráulica,145817.078
2023-02-01,Hidráulica,137653.891
2023-02-02,Hidráulica,138896.487
2023-02-03,Hidráulica,143416.64
2023-02-04,Hidráulica,95337.199
2023-02-05,Hidráulica,63243.779
2023-02-06,Hidráulica,82894.604
2023-02-07,Hidráulica,126620.713
2023-02-08,Hidráulica,122406.536
2023-02-09,Hidráulica,106818.993
2023-02-10,Hidráulica,109329.05
2023-02-11,Hidráulica,80305.318
2023-02-12,Hidráulica,75283.96
2023-02-13,Hidráulica,90457.165
2023-02-14,Hidráulica,79240.594
2023-02-15,Hidráulica,86454.037
2023-02-16,Hidráulica,88860.998
2023-02-17,Hidráulica,73387.273
2023-02-18,Hidráulica,68174.31
2023-02-19,Hidráulica,59837.73
2023-02-20,Hidráulica,67998.752
2023-02-21,Hidráulica,82640.18
2023-02-22,Hidráulica,82623.872
2023-02-23,Hidráulica,74924.368
2023-02-24,Hidráulica,91119.401
2023-02-25,Hidráulica,82441.279
2023-02-26,Hidráulica,43660.157
2023-02-27,Hidráulica,45394.375
2023-02-28,Hidráulica,63312.256
2023-03-01,Hidráulica,83373.581
2023-03-02,Hidráulica,85098.406
2023-03-03,Hidráulica,83127.86
2023-03-04,Hidráulica,88133.271
2023-03-05,Hidráulica,92570.47
2023-03-06,Hidráulica,84431.965
2023-03-07,Hidráulica,49008.364
2023-03-08,Hidráulica,52853.173
2023-03-09,Hidráulica,50407.97
2023-03-10,Hidráulica,43985.527
2023-03-11,Hidráulica,42321.494
2023-03-12,Hidráulica,60903.932
2023-03-13,Hidráulica,51463.469
2023-03-14,Hidráulica,60732.033
2023-03-15,Hidráulica,93732.254
2023-03-16,Hidráulica,65355.42
2023-03-17,Hidráulica,60998.611
2023-03-18,Hidráulica,72576.746
2023-03-19,Hidráulica,64820.615
2023-03-20,Hidráulica,82695.119
2023-03-21,Hidráulica,82190.406
2023-03-22,Hidráulica,70694.959
2023-03-23,Hidráulica,60530.131
2023-03-24,Hidráulica,57820.744
2023-03-25,Hidráulica,47187.581
2023-03-26,Hidráulica,33038.894
2023-03-27,Hidráulica,70293.833
2023-03-28,Hidráulica,83431.617
2023-03-29,Hidráulica,62602.532
2023-03-30,Hidráulica,56895.465
2023-03-31,Hidráulica,51196.244
2023-04-01,Hidráulica,40367.334
2023-04-02,Hidráulica,34338.057
2023-04-03,Hidráulica,69472.394
2023-04-04,Hidráulica,55127.836
2023-04-05,Hidráulica,77171.011
2023-04-06,Hidráulica,59293.434
2023-04-07,Hidráulica,50046.046
2023-04-08,Hidráulica,58587.342
2023-04-09,Hidráulica,47666.67
2023-04-10,Hidráulica,42573.38
2023-04-11,Hidráulica,62890.385
2023-04-12,Hidráulica,37303.751
2023-04-13,Hidráulica,44146.734
2023-04-14,Hidráulica,42768.525
2023-04-15,Hidráulica,37660.313
2023-04-16,Hidráulica,34269.595
2023-04-17,Hidráulica,51073.63
2023-04-18,Hidráulica,52379.63
2023-04-19,Hidráulica,52739.061
2023-04-20,Hidráulica,58882.067
2023-04-21,Hidráulica,57246.432
2023-04-22,Hidráulica,46573.199
2023-04-23,Hidráulica,30399.452
2023-04-24,Hidráulica,48451.694
2023-04-25,Hidráulica,48540.703
2023-04-26,Hidráulica,62500.26
2023-04-27,Hidráulica,66510.712
2023-04-28,Hidráulica,66705.093
2023-04-29,Hidráulica,55249.248
2023-04-30,Hidráulica,42714.478
2023-05-01,Hidráulica,33750.031
2023-05-02,Hidráulica,54063.366
2023-05-03,Hidráulica,46177.331
2023-05-04,Hidráulica,51721.465
2023-05-05,Hidráulica,57462.649
2023-05-06,Hidráulica,44278.641
2023-05-07,Hidráulica,42871.592
2023-05-08,Hidráulica,56664.859
2023-05-09,Hidráulica,45132.775
2023-05-10,Hidráulica,49039.207
2023-05-11,Hidráulica,44868.897
2023-05-12,Hidráulica,42950.06
2023-05-13,Hidráulica,33110.952
2023-05-14,Hidráulica,30781.869
2023-05-15,Hidráulica,37898.16
2023-05-16,Hidráulica,34525.187
2023-05-17,Hidráulica,29758.108
2023-05-18,Hidráulica,33738.721
2023-05-19,Hidráulica,39449.075
2023-05-20,Hidráulica,37568.801
2023-05-21,Hidráulica,40928.612
2023-05-22,Hidráulica,63703.354
2023-05-23,Hidráulica,53315.803
2023-05-24,Hidráulica,48491.16
2023-05-25,Hidráulica,42342.551
2023-05-26,Hidráulica,37562.231
2023-05-27,Hidráulica,47218.01
2023-05-28,Hidráulica,38471.392
2023-05-29,Hidráulica,49122.267
2023-05-30,Hidráulica,64567.257
2023-05-31,Hidráulica,60944.738
2023-06-01,Hidráulica,71632.31
2023-06-02,Hidráulica,72396.051
2023-06-03,Hidráulica,51540.082
2023-06-04,Hidráulica,43657.933
2023-06-05,Hidráulica,69912.623
2023-06-06,Hidráulica,67491.481
2023-06-07,Hidráulica,69266.867
2023-06-08,Hidráulica,72962.234
2023-06-09,Hidráulica,63101.046
2023-06-10,Hidráulica,60381.482
2023-06-11,Hidráulica,51833.029
2023-06-12,Hidráulica,78398.07
2023-06-13,Hidráulica,74609.94
2023-06-14,Hidráulica,68837.158
2023-06-15,Hidráulica,77215.075
2023-06-16,Hidráulica,85825.062
2023-06-17,Hidráulica,63805.971
2023-06-18,Hidráulica,47937.928
2023-06-19,Hidráulica,71256.988
2023-06-20,Hidráulica,71327.78
2023-06-21,Hidráulica,83484.705
2023-06-22,Hidráulica,68210.834
2023-06-23,Hidráulica,63307.307
2023-06-24,Hidráulica,52248.556
2023-06-25,Hidráulica,46813.426
2023-06-26,Hidráulica,56384.433
2023-06-27,Hidráulica,67793.143
2023-06-28,Hidráulica,60857.599
2023-06-29,Hidráulica,41359.873
2023-06-30,Hidráulica,46157.5
2023-07-01,Hidráulica,34501.647
2023-07-02,Hidráulica,36084.875
2023-07-03,Hidráulica,49292.568
2023-07-04,Hidráulica,46786.93
2023-07-05,Hidráulica,50171.71
2023-07-06,Hidráulica,50535.811
2023-07-07,Hidráulica,41708.727
2023-07-08,Hidráulica,39410.475
2023-07-09,Hidráulica,35109.085
2023-07-10,Hidráulica,53160.126
2023-07-11,Hidráulica,55434.625
2023-07-12,Hidráulica,48140.008
2023-07-13,Hidráulica,48285.843
2023-07-14,Hidráulica,41744.8
2023-07-15,Hidráulica,29981.974
2023-07-16,Hidráulica,33100.433
2023-07-17,Hidráulica,43360.371
2023-07-18,Hidráulica,55088.377
2023-07-19,Hidráulica,52062.287
2023-07-20,Hidráulica,45742.558
2023-07-21,Hidráulica,40125.392
